latitude,longitude,cemetery,historic_county,type,cremation_burials,inhumation_burials,date_range,citation,museum
50.786444,0.078355088,Bishopstone,Sussex,Majority Inhumation Cemetery,6,112,5th to 6th c,Meaney 1964,Unknown Location
51.571134,-1.213586,Blewburton Hill,Berkshire,Majority Inhumation Cemetery,1,22,5th to 6th c,Collins 1947; 1953; Collins and Collins 1959,Unknown Location
51.385056,0.24333783,Risely,Kent,Mixed Cemetery,5,114,5th to 6th c,Cumberland 1938,Unknown Location
52.563314,-0.25177651,Woodstone,Huntingdonshire,Majority Inhumation Cemetery,2,50,5th to 6th c,Smith 1926,Unknown Location
52.017914,-2.0465841,Beckford B,Worcestershire,Majority Inhumation Cemetery,4,120,5th to 6th c,Evison and Hill 1996,Unknown Location
50.666016,-1.4382134,Chessell Down,Isle of Wight,Majority Inhumation Cemetery,3,130,5th to 6th c,Hillier 1855,Unknown Location
51.022335,-1.7646984,Charlton Plantation,Wiltshire,Majority Inhumation Cemetery,1,46,5th to 6th c,Davies 1985,Unknown Location
52.235216,-0.9383247,Duston,Northamptonshire,Majority Inhumation Cemetery,2,100,5th to 6th c,George 1904,Unknown Location
52.819539,-1.0384051,Broughton Lodge,Nottinghamshire,Majority Inhumation Cemetery,1,120,5th to 6th c,Kinsley 1993,Unknown Location
53.495657,-0.59657054,Cleatham,Lincolnshire,Majority Cremation Cemetery,1204,62,5th to 7th c,Trollope 1857; Leahy 2007,North Lincolnshire Museum
52.117117,-0.49567536,Kempston,Bedfordshire,Mixed Cemetery,150,50,5th to 7th c,Wyatt 1857; Smith 1857,British Museum
51.944168,-0.54220574,Hick's Field,Bedfordshire,Mixed Cemetery,2,2,5th to 7th c,Morris 1962; Kennet 1969,Unknown Location
52.944815,-1.0787879,Holme Pierrepont,Nottinghamshire,Mixed Cemetery,30,60,5th to 7th c,Skelton 1931,Unknown Location
50.827948,-0.45087329,Highdown Hill,Sussex,Majority Inhumation Cemetery,30,190,5th to 7th c,Read 1895; Griffith 1925; Welch 1983,Unknown Location
51.286414,-1.6500727,Collingbourne Ducis,Wiltshire,Majority Inhumation Cemetery,13,114,5th to 7th c,Gingell 1978; Stoodley and Schuster 2009,Unknown Location
52.311364,0.6317313,West Stow,Suffolk,Majority Inhumation Cemetery,1,100,5th to 7th c,Alkerman 1855; West 1985,Unknown Location
53.681598,-0.44049662,Castledyke,Lincolnshire,Majority Inhumation Cemetery,1,196,5th to 7th c,Drinkall and Foreman 1998,Unknown Location
52.978062,-0.53892793,Ancaster,Lincolnshire,Majority Cremation Cemetery,40,1,5th to Early 6th c,Trollope 1870; Williams 2002,Unknown Location
51.26315,1.2910661,Ringlemere,Kent,Majority Inhumation Cemetery,12,39,5th to Early 6th c,Corke 2004; Parfitt and Needham 2005; Parfitt and Needham 2007; Marzinzik 2011,Unknown Location
52.471365,0.86657227,Illington,Norfolk,Majority Cremation Cemetery,104,3,5th to Early 7th c,Clarke 1957,Unknown Location
52.988651,-0.45216286,Quarrington I,Lincolnshire,Mixed Cemetery,2,2,5th to Early 7th c,Yerburgh 1825; Trollope 1872; Dickinson 2004,Unknown Location
52.551799,-0.32598334,Alwalton,Huntingdonshire,Mixed Cemetery,30,34,5th to Early 7th c,Gibson 2007,Peterborough Museum
52.297639,-0.98229175,Holdenby,Northamptonshire,Mixed Cemetery,3,25,5th to Early 7th c,Hartshorne 1868,Unknown Location
50.905885,-1.391244,St. Mary's Stadium,Hampshire,Mixed Cemetery,18,23,5th to Late7th c,Unpublished,Unknown Location
52.566655,-0.29590819,Long Wittenham,Northamptonshire,Majority Inhumation Cemetery,22,2,6th c,Frere and St. Joseph 1974,Unknown Location
52.30412,0.55208643,Tuddenham,Suffolk,Mixed Cemetery,2,1,6th c,Fox 1923,Unknown Location
54.575532,-0.99444296,Saltburn-on-Sea,Yorkshire,Mixed Cemetery,20,30,6th c,Hornsby 1913; Brown 1915,Unknown Location
51.756094,-0.9495956,Tythrop House,Oxfordshire,Mixed Cemetery,2,10,6th c,Lupton 1860; Head 1946,Unknown Location
51.727123,-1.4483299,Brighthampton,Oxfordshire,Majority Inhumation Cemetery,11,70,6th c,Akerman 1858; Akerman 1860; Atkinson and Kirk 1949,Unknown Location
51.499612,0.31812077,Stifford Clays,Essex,Majority Inhumation Cemetery,1,8,6th c,Tyler 1996,Unknown Location
52.090801,-1.2103237,Marston St Lawrence,Northamptonshire,Majority Inhumation Cemetery,3,32,6th c,Dryden 1885,Unknown Location
51.233373,-0.58053566,Guildown,Surrey,Majority Inhumation Cemetery,3,36,6th c,Lowther 1931; Whimster 1931,Unknown Location
52.285649,0.92201847,Badwell Ash,Suffolk,Mixed Cemetery,2,30,6th c,Farrer 1923,Unknown Location
52.787766,-1.6203659,Stapenhill,Derbyshire,Majority Inhumation Cemetery,2,36,6th c,Heron 1889; Brown 1915,Unknown Location
53.628218,-0.63300566,Sheffield's Hill I,Lincolnshire,Majority Inhumation Cemetery,2,43,6th c,Leahy and Williams 2001,Unknown Location
53.432254,-0.16363168,Morningthorpe,Lincolnshire,Majority Inhumation Cemetery,9,365,6th c,Green et al 1987,Unknown Location
52.765176,-0.79505945,Stapleford Park,Leicestershire,Mixed Cemetery,10,2,6th to 7th c,Cox 1889,Unknown Location
52.089322,1.3384214,Sutton Hoo,Suffolk,Mixed Cemetery,9,8,6th to 7th c,Carver 1998; Carver 2005,Unknown Location
51.310107,1.153782,Westbere,Kent,Mixed Cemetery,2,2,6th to 7th c,Jessup 1946,Unknown Location
51.596616,-1.1294113,Wallingford,Berkshire,Mixed Cemetery,6,31,6th to 7th c,Peake 1913; Leeds 1938,Unknown Location
51.895095,-0.43188751,Argyll Avenue,Bedfordshire,Mixed Cemetery,8,45,6th to 7th c,Austin 1928,Unknown Location
52.159887,-1.8566959,Bidford,Warwickshire,Majority Inhumation Cemetery,30,180,6th to 7th c,Humphreys et al 1923; Booth and Hodgson 1990,Unknown Location
51.700159,-1.6989839,Lechlade,Gloucestershire,Majority Inhumation Cemetery,32,217,6th to 7th c,Boyle et al 1998,Unknown Location
52.057301,1.1288481,Hadleigh Road,Suffolk,Majority Inhumation Cemetery,12,150,6th to 7th c,Layard 1907a; 1907b,Unknown Location
52.99533,-0.41318326,Sleaford,Lincolnshire,Majority Inhumation Cemetery,6,400,6th to 7th c,Thomas 1887,Unknown Location
52.715721,0.43538644,North Runcton,Norfolk,Mixed Cemetery,4,2,6th to Early 7th c,Clarke 1939,Unknown Location
52.064754,1.1191546,Boss Hall,Suffolk,Majority Inhumation Cemetery,5,22,6th to Early 7th c,Newman 1993,Unknown Location
51.928407,-0.65325047,Leighton Buzzard II,Bedfordshire,Majority Inhumation Cemetery,3,22,6th to Early 7th c,Unpublished,Unknown Location
51.091392,-1.1460684,Worthy Park,Hampshire,Mixed Cemetery,46,95,6th to Mid-7th c,Hawkes and Granger 2003,Unknown Location
52.736754,0.93581823,Spong Hill,Norfolk,Majority Cremation Cemetery,2484,57,Early 5th to 7th c,Jones 1974; Hills 1977; Hills and Penn 1980; Healy 1988; Hills et al 1984; 1987; 1993; McKinley 1994; Picket 1995; Hills and Lucy 2013,Unknown Location
51.744737,0.51173607,Springfield Lyons,Essex,Mixed Cemetery,100,100,Early 5th to 7th c,Tyler 1996; Tyler and Major 2005,Unknown Location
52.236968,0.70056374,Westgarth,Suffolk,Majority Inhumation Cemetery,4,63,Early 5th to 7th c,West 1988,Unknown Location
51.656204,-1.1629647,Berinsfield,Oxfordshire,Majority Inhumation Cemetery,2,103,Early 5th to 7th c,Boyle et al 1995,Unknown Location
51.663361,-1.2944025,Abingdon I,Berkshire,Mixed Cemetery,82,119,Early 5th to Late 6th c,Leeds and Harden 1936,Ashmolean Museum
51.499551,0.41033377,Mucking II,Essex,Majority Cremation Cemetery,468,282,Early 5th to Late 7th c,Jones 1974; Hamerow 1993; Hirst and Clark 2009,Museum of London
52.580647,1.2974103,Caistor-by-Norwich,Norfolk,Majority Cremation Cemetery,379,60,Late 4th to Early 7th c,Myres and Green 1973; Hines 1990b; Wilson 1992,Unknown Location
52.224073,-1.6134766,Wasperton,Warwickshire,Majority Inhumation Cemetery,26,215,Late 4th/5th to 7th c,Carver et al 2009,Unknown Location
51.263332,0.60580991,Hollingbourne,Kent,Mixed Cemetery,8,2,Late 5th to 6th c,Grove 1952,Unknown Location
51.213978,-1.510317,Andover,Hampshire,Mixed Cemetery,87,67,Late 5th to 6th c,Cook and Dacre 1985,Unknown Location
51.439974,0.33236713,Northfleet,Kent,Mixed Cemetery,15,20,Late 5th to 6th c,Philip 1914; Burchell and Brailsford 1948,Unknown Location
51.614582,-1.64178,Watchfield,Berkshire,Majority Inhumation Cemetery,2,43,Late 5th to 6th c,Scull 1992,Unknown Location
53.001832,-0.64840222,Loveden Hill,Lincolnshire,Majority Cremation Cemetery,1790,47,Late 5th to 7th c,Fennell 1964,Unknown Location
50.931709,-0.87292662,Apple Down,Sussex,Mixed Cemetery,138,121,Late 5th to 7th c,Down and Welch 1990,Unknown Location
52.178676,1.5133695,Snape,Suffolk,Mixed Cemetery,575,575,Late 5th to 7th c,West and Owles 1973; Carnegie and Filmer-Sankey 1993; Filmer-Sankey and Pestle 2001,Unknown Location
51.320897,-1.7789608,Pewsey,Wiltshire,Majority Inhumation Cemetery,3,124,Late 5th toEarly 6th c,Annable and Eagles 2010,Unknown Location
52.417663,0.54099158,Eriswell,Suffolk,Majority Inhumation Cemetery,17,426,Late 5th toEarly 7th c,Caruth and Anderson 2005,Unknown Location
50.736403,-1.778886,Christchurch,Hampshire,Majority Inhumation Cemetery,4,30,Late 6th to 7th c,Jarvis 1983; Davies 1984,Unknown Location
52.195469,0.28099644,Little Wilbraham,Cambridgeshire,Mixed Cemetery,135,193,Mid-5th to 6th c,Neville 1852; Lethbridge and Carter 1928,Unknown Location
52.167368,-1.232363,Churchover,Northamptonshire,Majority Inhumation Cemetery,1,7,Mid-5th to 6th c,Bloxam 1840; Morris 1959,Unknown Location
52.62099,-0.20072762,Welbeck Hill,Northamptonshire,Majority Inhumation Cemetery,5,72,Mid-5th to 6th c,Unpublished,Unknown Location
52.208587,0.10748959,Cambridge I,Cambridgeshire,Mixed Cemetery,102,36,Mid-5th to Early 7th c,Walker 1912; Fox 1923,Cambridge Museum
52.547724,-0.42200234,Nassington,Northamptonshire,Majority Inhumation Cemetery,3,65,Mid-5th to Late 6th c,Leeds and Atkinson 1944,Unknown Location
50.854146,0.064313636,Glynde,Sussex,Mixed Cemetery,7,8,Mid-5th to Mid-6th c,Griffith 1883,Unknown Location
53.850194,-0.62882402,Sancton,Yorkshire,Majority Cremation Cemetery,500,100,Mid-5th to Mid-7th,Sheppard 1909; Myres and Southern 1973; Timby 1993,Unknown Location
52.738864,-0.68765658,Market Overton II,Rutland,Mixed Cemetery,25,2,Mid-6th to Early 7th c,Crowther-Beynon and Leeds 1911,Unknown Location
52.317876,0.36652284,Soham C,Cambridgeshire,Majority Inhumation Cemetery,2,24,Mid-6th to Early 7th c,Lethbridge 1931-2,Unknown Location
54.596595,-1.3065776,Norton-on-Tees,Durham,Majority Inhumation Cemetery,3,117,Mid-6th to Early 7th c,Sherlock and Welch 1992,Unknown Location
52.619737,1.4407375,Brundall II,Norfolk,Mixed Cemetery,4,1,Unknown,Johnson 1926; Clarke 1941,Unknown Location
51.712053,-1.7944298,Fairford,Gloucestershire,Majority Inhumation Cemetery,4,140,Unknown,Wylie 1856,Unknown Location
