latitude,longitude,cemetery,historic_county,type,cremation_burials,inhumation_burials,date_range,citation,museum,link,full reference,the_geom,created_at,updated_at,cartodb_id
52.636864,0.37779449,Stow Bridge,Norfolk,Cremation Cemetery,1,0,Early to Mid-5th c,Clarke 1940,Unknown Location,,,0101000020E61000000A2DCAF0C82DD83FF8FF71C284514A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,220
52.640292,1.2871139,Catton,Norfolk,Cremation Cemetery,2,0,5th to 6th c,Clarke 1941,Unknown Location,,,0101000020E6100000DAA1ABBE0498F43FFAF19716F5514A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,57
52.498946,0.91551989,Shropham,Norfolk,Cremation Cemetery,5,0,5th to 6th c,Clarke 1941,Unknown Location,,,0101000020E61000008B664C5EF04BED3F293C6876DD3F4A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,199
52.564636,0.72508336,Threxton,Norfolk,Cremation Cemetery,2,0,Unknown,Clarke 1941,Unknown Location,,,0101000020E6100000865CC204E233E73F771211FE45484A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,231
52.585316,0.47981869,Wereham,Norfolk,Cremation Cemetery,2,0,5th c,Clarke 1941,Unknown Location,,,0101000020E6100000DECF637359B5DE3FABE97AA2EB4A4A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,246
52.701076,-0.46087645,Essendine,Rutland,Cremation Cemetery,0,0,5th to 6th c,Clough et al 1975,Unknown Location,,,0101000020E6100000F4C70FF0FF7EDDBF5801BEDBBC594A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,90
52.373642,-0.591273,Woodford,Northamptonshire,Cremation Cemetery,1,0,5th to 6th c,Cole 1825,Unknown Location,,,0101000020E6100000F73FC05AB5EBE2BFBD344580D32F4A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,255
51.443637,-1.0013841,Reading III,Berkshire,Cremation Cemetery,1,0,5th to 6th c,Colyer 1924,Unknown Location,,,0101000020E610000014C08355AB05F0BFD525E318C9B84940,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,177
52.770452,-1.2084617,Loughborough,Leicestershire,Cremation Cemetery,1,0,5th to 6th c,Cottrill 1946,Unknown Location,,,0101000020E61000003C7F7FEFDB55F3BFA391CF2B9E624A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,147
50.924409,-0.15740148,Hassocks,Sussex,Cremation Cemetery,2,0,5th to 6th c,Couchman 1925; Lyne 1994,Unknown Location,,,0101000020E610000065937850BB25C4BF6490BB0853764940,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,115
50.760898,0.19633483,Friston,Sussex,Cremation Cemetery,1,0,5th to 6th c,Curwen 1941,Unknown Location,,,0101000020E61000004D36F5EC7F21C93FC0CB0C1B65614940,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,103
51.270291,1.2930106,Coombe,Kent,Cremation Cemetery,1,0,6th to 7th c,Davidson and Webster 1967; Smith 1852,Unknown Location,,,0101000020E6100000F51906E22BB0F43F9AB33EE598A24940,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,70
51.387048,-0.43206887,Shepperton II,Middlesex,Cremation Cemetery,3,0,5th to 6th c,Douglas 1793; Vulliamy 1930,Unknown Location,,,0101000020E61000005D42913004A7DBBFB9FDF2C98AB14940,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,197
52.285417,0.6257938,Risby Heath,Suffolk,Cremation Cemetery,1,0,5th c,Edwardson 1959,Unknown Location,,,0101000020E61000001D4421B88006E43F795C548B88244A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,183
54.145269,-0.82271292,Broughton,Yorkshire,Cremation Cemetery,20,0,5th c,Elgee 1933,Unknown Location,,,0101000020E610000079B1AC0BAA53EABFB20FB22C98124B40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,45
53.806141,-0.2794561,Swine,Yorkshire,Cremation Cemetery,1,0,5th to 6th c,Elgee and Elgee 1933,Unknown Location,,,0101000020E6100000B0BB8AD69BE2D1BF7C7BD7A02FE74A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,228
53.952607,-1.0978699,The Mount,Yorkshire,Cremation Cemetery,15,0,5th to 6th c,Elgee and Elgee 1933; Stead 1958,Unknown Location,,,0101000020E610000064343C07E090F1BF6878B306EFF94A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,230
52.417307,0.10125273,Mepal Fen,Cambridgeshire,Cremation Cemetery,1,0,5th to 6th c,Fox 1923,Unknown Location,,,0101000020E61000005710FBEBB2EBB93F29B2D6506A354A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,152
52.22891,-1.7378828,Eynesbury Conygeer,Warwickshire,Cremation Cemetery,2,0,Early 6th c,Gorham 1820; Smith 1926; Fox 1923,Unknown Location,,,0101000020E61000009A7EE4315ECEFBBF1ADD41EC4C1D4A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,93
51.23689,-0.071884455,Tilburstow Hill Common,Surrey,Cremation Cemetery,1,0,5th to 6th c,Gower 1876; Morris 1959,Unknown Location,,,0101000020E610000033D750070567B2BFEE5F5969529E4940,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,234
51.27474,-0.58069498,Whitmoor Common,Surrey,Cremation Cemetery,2,0,6th c,Grinsell 1934,Unknown Location,,,0101000020E6100000DBA481A30D95E2BF977329AE2AA34940,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,251
53.424577,-0.13235611,Wold Newton,Lincolnshire,Cremation Cemetery,20,0,5th to 6th c,Gunner 1849,Unknown Location,,,0101000020E61000008319F0850BF1C0BF20D1048A58B64A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,253
52.410947,0.83618053,Brettenham,Norfolk,Cremation Cemetery,200,0,5th to 6th c,Gurney and Penn 2002,Unknown Location,,,0101000020E6100000C0DCBCABFDC1EA3FD5B14AE999344A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,35
51.509124,-0.88467665,Shiplake,Oxfordshire,Cremation Cemetery,2,0,5th to 6th c,Harden 1956,Unknown Location,,,0101000020E6100000651DE967454FECBFEACDA8F92AC14940,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,198
54.06389,-1.3506202,Devil Cross,Yorkshire,Cremation Cemetery,2,0,5th to 6th c,Hargrove 1789,Unknown Location,,,0101000020E6100000591245ED239CF5BF4E452A8C2D084B40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,78
50.855165,-1.1844849,Fareham I,Hampshire,Cremation Cemetery,2,0,Mid to Late 6th c,Hawkes 1968,Unknown Location,,,0101000020E61000007BB14170A6F3F2BF88D7F50B766D4940,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,96
52.844475,-1.2561132,Kingstone-on-Soar,Nottinghamshire,Cremation Cemetery,300,0,6th c,Henslow 1847,Unknown Location,,,0101000020E6100000B92EA1270A19F4BF12A5BDC1176C4A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,136
52.708228,0.6585198,Castle Acre,Norfolk,Cremation Cemetery,100,0,5th to 6th c,Housman 1895; Clarke 1939,Unknown Location,,,0101000020E61000003B97981D9812E53F450E1137A75A4A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,55
52.581883,1.6533474,Burgh Castle,Suffolk,Cremation Cemetery,2,0,5th c,Ives 1774,Unknown Location,,,0101000020E61000007AD33E671C74FA3F978C63247B4A4A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,49
52.385249,-2.2996842,Kidderminster Foreign,Worcestershire,Cremation Cemetery,1,0,Mid-7th to 8th c,Jackson et al 1994,Unknown Location,,,0101000020E6100000FD0571D4C06502C08AE8D7D64F314A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,134
52.684389,0.47211273,Wormegay,Norfolk,Cremation Cemetery,2,0,5th to 6th c,Lankester 1872,Unknown Location,,,0101000020E61000008E04D84F1837DE3FFF5E0A0F9A574A40,2014-03-10 18:11:15.759443+00,2014-03-10 18:11:15.80464+00,258
